GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR
,,,Armed conflicts (international) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (International),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polity2 (autocracy-democracy on a -10 to 10 scale),,Description Polity2 Index,,0=[0xBD0026][10] 1=[0xF03B20][10] 2=[0xFD8D3C][9] 3=[0xFEB24C][7] 4=[0xFED976][3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (internal) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (Internal),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (international) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (International),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polity2 (autocracy-democracy on a -10 to 10 scale),,Description Polity2 Index,,0=[0xBD0026][10] 1=[0xF03B20][10] 2=[0xFD8D3C][9] 3=[0xFEB24C][7] 4=[0xFED976][3],,,,,,,,,-2,,,8,5,,10,10,-7,,-8,5,,-7,8,,7,,3,,,8,8,,,9,,9,2,-4,10,10,,,-2,10,-7,7,,-4,,10,,9,-7,10,8,,,10,2,,8,5,-3,8,-5,-7,9,,-4,10,9,3,-5,6,10,8,,10,,8,5,6,6,,,7,,10,,9,8,,3,10,10,10,9,10,-3,-6,8,,-7,7,,8,7,8,6,,,10,,,,6,6,,7,,,-2,10,8,,,10,9,,-6,5,,6,,6,10,,10,9,3,4,,10,-8,6,,,9,4,8,9,8,10,10,-10,,,9,4,-4,,,,,,,-10,7,8,,7,-2,10,10,8,,9,10,4,,,-9,10,10,-7,-3,4,,7,-2,,,10,-4,7,-9,,,-1,6,-8,10,,10,10,-9,,,,-2,7,1,,,,,,,,,,,
,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (internal) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (Internal),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (international) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (International),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polity2 (autocracy-democracy on a -10 to 10 scale),,Description Polity2 Index,,0=[0xBD0026][10] 1=[0xF03B20][10] 2=[0xFD8D3C][9] 3=[0xFEB24C][7] 4=[0xFED976][3],,,,,,,,,-2,,,8,5,,10,10,-7,,-7,5,,-7,8,,7,,3,,,8,8,,,9,,9,2,-4,10,10,,,-2,10,-7,7,,-4,,10,,9,-7,10,8,,,10,2,,8,5,-3,8,-5,-7,9,,-4,10,9,3,-5,6,10,8,,10,,8,-1,6,6,5,,7,,10,,9,8,,,10,10,10,9,10,-3,-6,7,,-7,1,,8,7,8,6,,,10,,,,6,6,,7,,,-2,10,8,,,10,9,,-6,5,,6,,6,10,,10,9,-3,4,,10,-8,5,,,9,4,8,9,8,10,10,-10,,,9,4,-3,,,,,,,-10,7,8,,7,-2,10,10,8,,9,10,6,,,-9,10,10,-7,-3,4,,7,-4,,,10,-4,7,-9,,,-1,7,-8,10,,10,10,-9,,,,-2,7,1,,,,,,,,,,,
,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (internal) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (Internal),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (international) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (International),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polity2 (autocracy-democracy on a -10 to 10 scale),,Description Polity2 Index,,0=[0xBD0026][10] 1=[0xF03B20][10] 2=[0xFD8D3C][9] 3=[0xFEB24C][7] 4=[0xFED976][3],,,,,,,,,-2,,,8,5,,10,10,-7,,-7,-6,,-7,8,,7,,3,,,8,8,,,9,,9,2,-4,10,10,,,-2,10,-7,7,,-4,,10,,9,-7,10,8,,,10,2,,8,5,-3,7,-5,-7,9,,-4,10,9,-4,-5,6,10,8,,10,,8,-1,6,6,5,,7,,10,,9,8,,,10,10,10,9,10,-3,-6,7,,-7,3,,8,7,8,6,,,10,,,7,6,6,,7,,,-5,10,8,,,10,9,,-6,5,,6,,6,10,,10,9,6,4,,10,-8,5,,,9,4,8,9,8,10,10,-10,,,9,4,-3,,,,,,,-10,7,8,,7,-2,10,10,8,,9,10,6,,,-9,10,10,-7,-3,4,,7,-4,,,10,-4,7,-9,,,-1,7,-8,10,,10,10,-9,,,,-2,7,-4,,,,,,,,,,,
,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (internal) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (Internal),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (international) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (International),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polity2 (autocracy-democracy on a -10 to 10 scale),,Description Polity2 Index,,0=[0xBD0026][10] 1=[0xF03B20][10] 2=[0xFD8D3C][9] 3=[0xFEB24C][7] 4=[0xFED976][3],,,,,,,,,-2,,,8,5,,10,10,-7,,-7,-6,,-7,8,,7,,-6,,,8,8,,,9,,9,2,-4,10,10,,,-2,10,-7,7,,-4,,10,,9,-7,10,8,,,10,2,,8,5,-3,7,-5,-7,9,,-4,10,9,-4,-5,6,10,8,,10,,8,-1,6,6,5,,7,,10,,9,8,,,10,10,10,9,10,-3,-6,7,,-7,3,,8,7,8,6,,,10,,,7,6,3,,7,,,4,10,8,,,10,9,,-6,5,,6,,6,10,,10,9,6,4,,10,-8,2,,,9,4,8,9,8,10,10,-10,,,9,4,-3,,,,,,,-10,7,8,,7,-2,10,10,8,,9,10,6,,,-9,10,10,-7,-3,-1,,7,-4,,,10,-4,7,-9,,,-1,7,-8,10,,10,10,-9,,,,-2,5,-4,,,,,,,,,,,
,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (internal) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (Internal),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (international) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (International),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polity2 (autocracy-democracy on a -10 to 10 scale),,Description Polity2 Index,,0=[0xBD0026][10] 1=[0xF03B20][10] 2=[0xFD8D3C][9] 3=[0xFEB24C][7] 4=[0xFED976][3],,,,,,,,,-2,,,8,5,,10,10,-7,,-7,6,,-7,10,,7,,-6,,,8,8,,,9,,9,2,-4,10,10,,,-2,10,-7,7,,-4,,10,,9,-7,10,8,,,10,2,,8,7,-3,7,-5,-7,9,,-3,10,9,-4,-5,7,10,8,,10,,8,-1,6,6,5,,7,,10,,9,8,,,10,10,10,9,10,-2,-6,8,,-7,4,,8,7,8,6,,,10,,,7,6,3,,7,,,-3,10,8,,,10,9,,-6,5,,6,,6,10,,10,8,6,4,,10,-8,-5,,,9,4,8,9,8,10,10,-10,,,9,6,-3,,,,,,,-10,8,8,,5,-2,10,10,8,,9,10,6,,,-9,10,10,-7,-3,-5,,7,-4,,,10,-4,7,-9,,,-1,7,-8,10,,10,10,-9,,,,-2,5,-4,,,,,,,,,,,
,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (internal) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (Internal),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Armed conflicts (international) 1 if there was a conflict in a given year - 0 otherwise,,Description Armed Conflicts (International),,0=[0xBD0026][1] 1=[0xF03B20][1] 2=[0xFD8D3C][1] 3=[0xFEB24C][1] 4=[0xFED976][1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
